25.36,21.04,24.07
25.22,21.26,25.11
24.78,21.52,25.15
24.05,21.56,25.06
22.93,21.25,24.9
21.54,20.77,24.37
19.75,19.84,23.63
18.85,18.89,22.63
18.22,17.88,21.65
17.7,17.51,20.57
17.33,17.54,20.06
17.05,17,19.87
17.01,15.72,19.17
16.88,15.23,18.27
16.9,13.61,17.55
17.17,13.5,16.97
17.94,13.67,16.87
18.99,14.03,16.95
20.22,14.29,17.1
22.31,14.77,16.57
23.81,15.66,16.5
25.28,15.9,18.21
26.93,18.64,18.55
27.43,18.04,18.2
27.41,17.03,20.44
26.96,16.34,19.33
26.13,15.75,19.21
25.07,15.45,19.17
23.65,15.44,19.24
21.65,15.03,19.01
19.24,14.17,18.86
17.78,13.99,18.6
16.84,13.92,17.92
16.47,13.73,17.33
16.94,14,16.85
16.83,14.12,16.02
16.67,13.64,14.83
16.42,12.94,13.8
16.46,12.62,13.12
16.35,12.81,12.78
16.5,13.27,12.83
18.19,13.14,13.8
20.5,13.95,15.57
22.43,15.09,16.23
24.1,15.71,17.04
25.66,16.78,18.64
28.74,19.08,18.38
29.07,18.91,21.01
29.15,19.04,20.35
28.73,17.68,20.74
27.73,16.78,20.61
26.38,16.95,20.73
24.56,16.94,20.35
22.02,16.62,18.59
19.44,16.38,17.24
18.75,16.01,16.3
18.46,15.68,16.23
18.19,15.25,15.97
18.03,14.71,15.14
17.74,14.27,15.08
17.58,14.14,15.28
17.4,14.09,14.17
17.3,14.16,13.3
17.25,14.04,13.31
17.37,14.34,13.71
18.29,15.23,13.55
19.78,15.92,13.77
21.4,16,14.17
23.11,16.83,14.72
24.87,16.74,15.92
27.05,17.29,16.3
28.3,17.69,18.11
28.37,18.74,18.08
27.91,19.26,18.47
26.94,19.54,19.01
25.72,19.1,19.6
23.72,19.19,19.98
21.6,18.94,18.9
19.47,18.22,18.68
18.83,17.72,18.33
18.7,17.08,17.81
18.6,16.72,17.18
18.34,16.16,16.69
18.06,14.81,16.55
17.93,13.85,16.21
17.63,13.23,15.71
17.36,12.68,15.23
17.15,12.46,14.77
17.22,12.62,14.47
18.6,14.11,14.84
21.39,15.61,16.05
24.94,16.87,17.1
28.03,18.44,17.48
30.87,19.73,17.58
33.22,20.6,17.97
33.73,21.63,19.18
33.17,22.41,20.39
32.28,22.93,20.95
30.85,23.23,21.49
29.15,23.27,21.85
27.32,22.99,22.05
24.95,22.57,21.57
22.17,22.17,20.61
20.51,20.82,19.44
19.78,18.07,18.41
